ICP_MS_Sample_Run,Sample_ID,Sample_Location,Date,Be_ugL,B_ugL,Al_ugL,P_ugL,V_ugL,Cr_ugL,Mn_ugL,Fe_ugL,Co_ugL,Ni_ugL,Cu_ugL,Zn_ugL,Ga_ugL,As_ugL,Se_ugL,Kr_ugL,Rb_ugL,Sr_ugL,Ag_ugL,Cd_ugL,Sn_ugL,Cs_ugL,Ba_ugL,La_ugL,Ce_ugL,Pr_ugL,Nd_ugL,Sm_ugL,Eu_ugL,Gd_ugL,Dy_ugL,Ho_ugL,Er_ugL,Tm_ugL,Yb_ugL,Lu_ugL,Ti_ugL,Pb_206_ugL,Pb_207_ugL,Pb_208_ugL,Th_ugL,U_ugL,Li_ugL,Mo_ugL
MS48,156385,MPR,9/5/17,-0.021,14.397,26.537,19.609,1.584,0.146,2.034,14.787,0.04,0.129,1.69,0.569,0.006,0.091,0.074,,0.788,51.828,0.004,0.399,,0.008,28.421,0.014,0.018,0.003,0.015,0.004,0.002,0.004,0.004,0.001,0.002,0,0.002,0,0.003,0.005,0.005,0.005,0.004,0.004,0.261,0.162
MS49,160806,MPR,3/17/17,-0.02,17.331,197.727,16.236,1.379,0.737,4.841,130,0.085,0.504,1.478,3.189,0.044,0.051,0.05,,0.889,28.438,0.006,0.017,,0.012,19.517,0.051,0.112,0.017,0.077,0.02,0.006,0.021,0.021,0.004,0.013,0.002,0.011,0.002,0.004,0.026,0.024,0.026,0.009,0.004,0.209,0.053
MS50,156377,MPR,9/18/17,-0.025,14.863,29.931,26.784,1.685,0.17,1.732,34.721,0.026,0.215,4.815,3.58,0.009,0.111,0.063,,1.059,55.037,0.006,0.077,,0.01,38.41,0.018,0.026,0.004,0.018,0.005,0.003,0.005,0.005,0.001,0.003,0,0.003,0,0.004,0.015,0.013,0.014,0.004,0.009,0.304,0.172
MS51,156400,QS,9/18/17,-0.02,13.975,36.371,12.513,0.973,0.15,2.64,30.23,0.082,0.179,0.894,7.076,0.009,0.035,0.01,,0.324,17.737,0.001,0.046,,0.005,4.122,0.016,0.041,0.005,0.024,0.006,0.002,0.006,0.005,0.001,0.003,0,0.003,0,0.001,-0.003,-0.004,-0.003,0.001,0.001,0.094,0.010
MS52,157881,QP,9/27/17,-0.025,13.764,162.558,12.414,2.066,0.391,7.494,100,0.129,1.181,0.818,2.359,0.046,0.049,0.021,,0.526,20.761,0.001,0.023,,0.005,2.986,0.091,0.121,0.037,0.189,0.046,0.016,0.05,0.043,0.009,0.026,0.003,0.02,0.003,0.001,0,0,0,0.003,0.001,0.108,0.004
MS53,157897,QS,10/10/17,-0.024,13.281,38.074,12.643,0.907,0.159,1.059,27.861,0.032,0.229,0.734,8.611,0.01,0.038,0.01,,0.634,23.248,0.001,0.092,,0.007,12.7,0.025,0.043,0.007,0.036,0.008,0.003,0.009,0.008,0.002,0.004,0.001,0.004,0.001,0.002,-0.006,-0.006,-0.006,0.002,0.001,0.087,0.010
MS54,157898,QP,10/10/17,-0.014,16.848,71.767,13.541,1.819,0.265,5.383,51.333,0.074,0.302,0.848,7.4,0.02,0.045,0.024,,0.666,26.221,0.001,0.089,,0.005,10.429,0.059,0.068,0.021,0.106,0.025,0.009,0.029,0.025,0.005,0.014,0.002,0.011,0.002,0.001,-0.009,-0.009,-0.009,0.001,0.001,0.110,0.005
MS55,157913,RI,10/20/17,-0.022,10.971,20.252,13.142,0.355,0.067,,260,0.812,0.179,0.786,7.844,0.021,0.031,0.02,,1.472,16.315,0.001,0.061,,0.021,11.955,0.053,0.092,0.016,0.08,0.02,0.007,0.024,0.025,0.006,0.019,0.003,0.02,0.003,0.01,0.002,0.001,0.001,0.003,0.001,0.132,0.056
MS56,157915,QG,10/20/17,-0.022,12.227,18.525,11.805,0.41,0.033,,300,0.801,0.14,0.377,6.729,0.021,0.031,0.032,,1.258,11.807,0.001,0.051,,0.014,9.839,0.079,0.096,0.026,0.124,0.03,0.012,0.04,0.044,0.011,0.036,0.006,0.041,0.007,0.008,0.005,0.005,0.005,0.003,0.002,0.178,0.057
MS57,159450,QG,11/8/17,-0.022,12.368,29.525,10.797,0.401,0.041,,270,0.666,0.179,0.599,7.133,0.025,0.032,0.032,,1.484,12.411,0.001,0.037,,0.016,13.863,0.082,0.106,0.027,0.128,0.034,0.013,0.042,0.049,0.012,0.041,0.006,0.044,0.008,0.009,0.016,0.015,0.015,0.003,0.002,0.152,0.056
MS58,159440,MPR,11/2/17,-0.027,13.431,22.311,18.341,1.992,0.089,6.357,19.831,0.043,0.133,0.846,1.939,0.014,0.101,0.073,,1.511,51.571,0.002,0.018,,0.012,34.188,0.033,0.069,0.004,0.02,0.004,0.002,0.005,0.005,0.001,0.003,0,0.003,0.001,0.005,-0.006,-0.006,-0.006,0,0.003,0.230,0.193
MS59,159438,RI,11/2/17,-0.026,10.874,12.986,11.466,0.262,0.032,,320,0.836,0.114,0.324,4.916,0.013,0.025,0.021,,1.347,17.538,0,0.02,,0.02,9.766,0.049,0.097,0.011,0.05,0.012,0.004,0.016,0.016,0.004,0.013,0.002,0.013,0.003,0.007,-0.005,-0.005,-0.004,0,0.001,0.122,0.056
MS60,159444,QS,11/7/18,-0.018,13.15,106.942,13.641,1.039,0.339,3.022,93.802,0.086,0.255,1.203,2.041,0.031,0.046,0.031,,0.737,20.965,0.001,0.014,,0.008,4.379,0.071,0.127,0.022,0.1,0.024,0.008,0.025,0.021,0.004,0.012,0.001,0.009,0.001,0.003,0.005,0.004,0.004,0.002,0.002,0.125,0.008
MS61,159445,QP,11/7/18,-0.017,15.803,164.055,14.869,2.259,0.483,8.71,140,0.169,0.438,1.585,2.591,0.053,0.053,0.04,,0.774,27.237,0.001,0.011,,0.005,4.668,0.143,0.217,0.052,0.25,0.058,0.02,0.067,0.055,0.011,0.031,0.004,0.025,0.004,0.001,0.011,0.011,0.012,0.001,0.002,0.128,0.009
MS62,159454,QP,11/14/17,-0.025,15.073,89.816,18.301,2.021,0.438,6.313,82.08,0.079,0.282,3.069,1.334,0.025,0.048,0.014,,0.716,25.302,0.006,0.015,,0.005,3.619,0.041,0.06,0.015,0.074,0.02,0.006,0.02,0.018,0.004,0.011,0.001,0.009,0.001,0.001,0.134,0.121,0.127,0,0.001,0.108,0.007
MS63,159453,QS,11/14/17,-0.027,13.097,71.126,14.29,1.028,0.388,1.707,65.612,0.045,0.165,4.127,1.795,0.019,0.052,0.028,,0.723,20.319,0.002,0.009,,0.009,3.825,0.032,0.06,0.01,0.048,0.012,0.004,0.012,0.01,0.002,0.006,0.001,0.005,0.001,0.002,0.134,0.121,0.128,0,0.002,0.151,0.015
MS64,158780,MPR,11/15/17,-0.024,15.091,80.883,26.893,1.599,0.216,3.443,83.074,0.045,0.184,2.921,0.256,0.039,0.098,0.11,,1.906,43.151,0.004,0.005,,0.015,32.88,0.142,0.138,0.049,0.232,0.058,0.019,0.066,0.066,0.014,0.041,0.006,0.036,0.006,0.007,0.027,0.025,0.027,0,0.005,0.229,0.132
MS65,158779,QG,11/15/17,-0.016,12.561,66.119,17.972,0.476,0.157,,300,0.608,0.063,2.45,6.424,0.037,0.066,0.041,,1.548,12.086,0.006,0.003,,0.015,9.165,0.143,0.183,0.046,0.214,0.056,0.022,0.072,0.083,0.02,0.065,0.01,0.065,0.012,0.01,0.091,0.082,0.087,0.001,0.005,0.137,0.052
MS66,158778,RI,11/15/17,-0.024,13.554,70.032,19.708,0.453,0.184,,200,0.604,0.292,3.601,2.858,0.043,0.122,0.048,,2.165,16.279,0.004,0.017,,0.028,10.64,0.177,0.245,0.055,0.254,0.062,0.022,0.073,0.079,0.018,0.056,0.008,0.058,0.01,0.012,0.63,0.576,0.609,0.004,0.005,0.117,0.066
MS67,158784,QS,11/21/17,-0.025,12.877,41.177,11.057,0.974,0.245,1,41.907,0.034,0.135,0.75,0.965,0.011,0.037,0.025,,0.644,19.9,0,0.004,,0.007,3.207,0.029,0.047,0.008,0.042,0.01,0.004,0.012,0.009,0.002,0.005,0.001,0.005,0.001,0.002,-0.01,-0.008,-0.009,0,0.001,0.110,0.010
